tipo;situacao;data;hora;bairro;endereco;numero;complemento;natureza;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais
COLISÃO TRASEIRA;FINALIZADA;07/06/2019;13:55:00;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;2324;;COLISÃO TRASEIRA;COLISAO ENTRE AUTO E MOTO S/V;1;1;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;07/06/2019;14:01:00;IMBIRIBEIRA;AV DOM JOAO VI;;;COLISÃO TRASEIRA;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;07/06/2019;14:02:00;ÁGUA FRIA;AV BEBERIBE;1745;EM FRENTE A OTICA LIMA;ABALROAMENTO LONGITUDINAL;COLISÃO COM VÍTIMA;1;1;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;07/06/2019;14:40:00;GRAÇAS;AV RUI BARBOSA;141;EM FRENTE A PRAÇA DO ENTRONCAMENTO;COLISÃO TRASEIRA;COLISAO ENTRE TRES AUTOS S/V;3;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;07/06/2019;14:46:00;AFOGADOS;RUA DA PAZ;315;;ABALROAMENTO TRANSVERSAL;COLISÃO COM VITIMA;1;1;;;;;;;;1;
ABALROAMENTO LONGITUDINAL;FINALIZADA;07/06/2019;14:57:00;;RUA VISCONDE DE JEQUITINHONHA;;;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VITIMA;2;;;;;;;;;0;
COLISÃO;FINALIZADA;07/06/2019;14:59:00;AFOGADOS;RUA MOTOCOLOMBO;97;EM FRENTE AO BANCO SANTANDER;COLISÃO;COLISÃO COM VÍTIMA;1;1;;;;;;;;1;
COLISÃO;FINALIZADA;07/06/2019;15:16:00;ILHA DO LEITE;AV GOVERNADOR AGAMENON MAGALHAES;;NA PISTA LOCAL E/F AO HOSPITAL PORTUGUES  NO SEMAFORO 350;COLISÃO;;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;07/06/2019;15:39:00;AREIAS;;48 C;ANDRÉ ÓTICA;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VITIMA;1;;;;;;1;;;0;
COLISÃO TRASEIRA;FINALIZADA;07/06/2019;15:52:00;GRAÇAS;AV RUI BARBOSA;89;EM FRENTE AO BANCO SANTANDER;COLISÃO TRASEIRA;COLISÃO SEM VITIMA;2;;;;;;;;;0;
;CANCELADA;07/06/2019;16:04:00;DOIS IRMÃOS;PRQ DE DOIS IRMAOS;;EM FRENTE A LAFEPE;;;2;;;;;;;;;0;
COLISÃO;CANCELADA;07/06/2019;16:17:00;AREIAS;AV DR JOSE RUFINO;2642;AO LADO DO VIADULTO / LADO OPOSTO DO 2642 CASA;COLISÃO;COLISÃO SEM VITIMA;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;07/06/2019;16:41:00;BARRO;AV DR JOSE RUFINO;2612;;COLISÃO TRASEIRA;COLISAO ENTRE VEICULO OFICIAL E AUTO S/V;2;;;;;;;;;0;
COLISÃO;FINALIZADA;07/06/2019;16:47:00;IPSEP;AV RECIFE;;EM FRENTE A WK MARTELINHO DE OURO / SENTIDO IMBIRIBEIRA;COLISÃO;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
COLISÃO;CANCELADA;07/06/2019;17:56:00;ILHA DO LEITE;RUA PAISSANDU;;EM FRENTE AO SÃO MARCOS;COLISÃO;COLISÃO SEM VITIMA;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;07/06/2019;18:05:00;IPSEP;AV RECIFE;3592;EQUIPADORA FALCÃO;COLISÃO TRASEIRA;04 VEÍCULOS;4;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;07/06/2019;18:27:00;IMBIRIBEIRA;RUA JAMAICA;134;;ABALROAMENTO TRANSVERSAL;DOIS AUTO SEM VITIMAS, UM DOS AUTO ESTÁ CAPOTADO NA VIA;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;07/06/2019;18:58:00;BOA VIAGEM;AV MARECHAL MASCARENHAS DE MORAES;5089;;COLISÃO TRASEIRA;DOIS AUTO SEM VITIMAS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;07/06/2019;19:24:00;AFOGADOS;RUA SAO MIGUEL;;SEMÁFORO 053;ABALROAMENTO LONGITUDINAL;CAMINHÃO GUINDASTE  E AUTO PASSEIO SEM VITIMAS, VEICULOS SE ENCONTRA NO DEPATRI POR UM DOS VEICULOS CONSTAR COMO ROUBADO INF DOS POLICIAL QUE PASSOU NA HORA QUE USUÁRIO ESTAVA REGISTRANDO A OCORENCIA;1;;;;;;1;;;0;
COLISÃO TRASEIRA;FINALIZADA;07/06/2019;20:05:00;BOA VIAGEM;AV FERNANDO SIMOES BARBOSA;;;COLISÃO TRASEIRA;TRES AUTO SEM VITIMAS;3;;;;;;;;;0;
ABALROAMENTO TRANSVERSAL;FINALIZADA;07/06/2019;20:45:00;SÃO JOSÉ;RUA IMPERIAL;;;ABALROAMENTO TRANSVERSAL;DOIS AUTO SEM VITIMAS;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;07/06/2019;21:56:00;BOA VIAGEM;RUA VISCONDE DE JEQUITINHONHA;;;COLISÃO TRASEIRA;AUTO E MOTO SEM VITIMAS;1;1;;;;;;;;0;
CHOQUE OBJETO FIXO;FINALIZADA;08/06/2019;04:26:00;ENCRUZILHADA;AV NORTE;3300;CASA DE FESTA QUEBRA CABEÇA;CHOQUE OBJETO FIXO;VEÍCULO CHOUCO-SE COM CANTEIRO CENTRAL DA VIA;1;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;08/06/2019;06:40:00;BEBERIBE;AV BEBERIBE;431;;COLISÃO TRASEIRA;COLISÃO C/ VITIMAS ENTRE MOTO E AUTO;1;1;;;;;;;;1;
ABALROAMENTO TRANSVERSAL;FINALIZADA;08/06/2019;08:17:00;BOA VISTA;RUA DAS NINFAS;189;GALERIA SQUINA DO PROGRESSO;ABALROAMENTO TRANSVERSAL;COLISÃO  SEM  VITIMAS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;08/06/2019;09:13:00;TORRE;RUA DIANOPOLIS;;;ABALROAMENTO LONGITUDINAL;COLISÃO  SEM  VITIMAS  VT  24  QTH;2;;;;;;;;;0;
COLISÃO TRASEIRA;FINALIZADA;08/06/2019;09:22:00;IBURA;AV DOIS RIOS;;EM FRENTE A MADEREIRA/ LADO OPOSTO A PARADA DE ÔNIBUS DE Nº 020178;COLISÃO TRASEIRA;COLISÃO S/ VITIMAS ENTRE UM ONIBUS E UM AUTO;1;;;;;1;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;08/06/2019;09:30:00;ESPINHEIRO;AV JOAO DE BARROS;1407;CLIFISIO;ABALROAMENTO LONGITUDINAL;SEM VITIMAS;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;08/06/2019;12:02:00;AFOGADOS;RUA SAO MIGUEL;;EM FRENTE AO DEPATRI;ABALROAMENTO LONGITUDINAL;SEM VITIMAS;1;;;;;;1;;1;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;08/06/2019;12:03:00;VÁRZEA;AV PROFESSOR ARTUR DE SA;;;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;;1;;;;1;;;;0;
COLISÃO TRASEIRA;FINALIZADA;08/06/2019;12:18:00;BEBERIBE;AV BEBERIBE;;;COLISÃO TRASEIRA;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;08/06/2019;12:24:00;SANTO AMARO;RUA TREZE DE MAIO;207;;ABALROAMENTO LONGITUDINAL;COLISÃO ENTRE AUTO E MOTOCICLETA COM VÍTIMAS;1;1;;;;;;;;2;
COLISÃO TRASEIRA;FINALIZADA;08/06/2019;12:33:00;GRAÇAS;AV GOVERNADOR AGAMENON MAGALHAES;;AO LADO DA ESCOLA ESTADUAL GOV BARBOSA LIMA;COLISÃO TRASEIRA;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
ABALROAMENTO LONGITUDINAL;FINALIZADA;08/06/2019;13:40:00;BEBERIBE;RUA URIEL DE HOLANDA;;EM FRENTE A ESCOLA PEDRO CELSO;ABALROAMENTO LONGITUDINAL;COLISÃO COM VITIMA;;1;;;;1;;;;1;
COLISÃO TRASEIRA;FINALIZADA;08/06/2019;13:50:00;NOVA DESCOBERTA;RUA NOVA DESCOBERTA;1288;EM FRENTE AO Nº 1288;COLISÃO TRASEIRA;COLISAO ENTRE ONIBUS E AUTO S/V;1;;;;;1;;;;0;
CHOQUE VEÍCULO PARADO;FINALIZADA;08/06/2019;13:51:00;BARRO;RUA MANUEL SALVADOR;41;PRÓX AO KICALDINHO;CHOQUE VEÍCULO PARADO;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
